id,decarbonization,energy,consumption,environment,climatology,durability,society
economic-policy,0,1,1,0,0,0,0
bachelor-diergeneeskunde-bac,0,0,0,3,1,0,1
master-development-evaluation-master,0,0,0,3,2,0,1
master-software-engineering-master,0,0,0,0,0,0,0
master-data-science-master,0,0,0,0,0,0,0
master-chemistry-master,1,2,1,4,0,0,0
manama-ziekenhuishygiene,0,1,1,0,0,0,0
manama-ziekenhuisfarmacie,0,0,0,0,0,0,0
wijsbegeerte-studeren-master,0,0,0,0,0,0,0
wetenschappen-en-technologie-bac,0,0,0,0,0,0,0
think-water,0,0,0,6,1,0,1
veiligheidswetenschappen-master,0,0,0,1,0,0,0
verpleegkundige-huisartspraktijk,0,0,0,0,0,0,0
manama-verzekeringsgeneeskunde,0,0,0,0,0,0,0
wijsbegeerte-studeren-bac,1,1,0,3,3,2,2
wiskunde-studeren-bac,0,0,0,1,1,0,1
tew-economisch-beleid-master,0,1,1,0,0,0,0
tew-bedrijfskunde-master,0,0,0,3,0,0,0
theater-en-filmwetenschap-master,0,0,0,1,0,0,0
tew-bedrijfskunde-bac,0,1,0,2,3,2,2
tew-economisch-beleid-bac,1,1,0,3,3,2,2
sociologie-studeren-master,0,0,0,1,0,0,0
sociologie-studeren-bac,1,1,0,7,3,3,2
sociaal-economische-wetenschappen-master,0,0,0,0,1,1,1
pavo-schoolbeleid,0,0,0,0,0,0,0
systeemtheoretische-psychotherapie,0,0,0,0,0,0,0
pavo-leerlingbegeleiding-secundair,0,0,0,0,0,0,0
master-sociaal-werk-master,0,0,0,0,0,0,0
master-stedenbouw-master,1,0,0,7,1,3,0
revalidatie-en-kinesitherapie-bac,0,0,0,1,1,0,1
sociaal-economische-wetenschappen-bac,1,1,0,4,3,2,2
pavo-rampenmanagement,0,0,0,0,0,0,0
pavo-radioprotectie,0,0,0,0,0,0,0
ma-rehabilitation-physio-neuro,0,0,0,0,0,0,0
ma-rehabilitation-physio-internal,0,0,0,0,0,0,0
master-fiscaal-recht-master,0,0,0,0,0,0,0
master-rechten-master,1,1,0,3,4,2,1
bachelor-rechten-bac,0,0,0,1,2,1,1
productontwikkeling-studeren-master,1,0,0,8,0,0,0
pavo-psychotherapie-volwassenen,0,0,0,0,0,0,0
productontwikkeling-studeren-bac,0,0,0,4,1,0,1
pavo-psychotherapie-jeugd-optie-2,0,0,0,0,0,0,0
pavo-psychotherapie-jeugd-optie-1,0,0,0,0,0,0,0
pavo-preventieadviseur-1,0,0,0,0,0,0,0
politieke-communicatie-master,0,0,0,0,1,0,0
master-political-science-master,0,0,0,0,1,0,0
politieke-wetenschappen-bac,1,1,0,3,3,2,2
master-of-physics-master,0,0,0,0,0,0,0
pavo-ondernemerschap,0,0,0,0,0,0,0
organisatie-en-management-studeren-master,0,0,0,1,0,0,0
master-onderwijswetenschappen-master,0,0,0,0,0,0,0
pavo-milieu-gezondheidswetenschappen,0,0,0,1,1,1,0
meertalige-communicatie-studeren-master,0,0,0,0,0,0,0
master-milieuwetenschap-master,0,1,0,12,4,5,1
maritiem-en-logistiek-management-master,0,0,0,1,0,0,0
pavo-leerzorg-secundair-onderwijs,0,0,0,0,0,0,0
master-of-laws-master,0,0,0,0,2,0,0
pavo-klinisch-wetenschap-onderzoek,0,0,0,0,0,0,0
manama-klinische-biologie,0,0,0,1,0,0,0
manama-jeugdgezondheidszorg,0,0,0,0,0,0,0
manama-industriele-farmacie,0,0,0,0,0,0,0
master-internationale-betrekkingen-master,0,0,0,2,1,1,0
